Denominação Social,CNPJ
VALID SOLUÇÕES S.A.,33.113.309/0001-47
VESTE S.A. ESTILO,49.669.856/0001-43
VITTIA S.A.,45.365.558/0001-09
VIVER INCORPORADORA E CONSTRUTORA S.A.,67.571.414/0001-41
VULCABRAS S.A.,50.926.955/0001-42
WEG S.A.,84.429.695/0001-11
WETZEL S.A.,84.683.671/0001-94
WHIRLPOOL S.A.,59.105.999/0001-86
WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.,33.228.024/0001-51
YBYRÁ CAPITAL S.A.,02.217.319/0001-07
YDUQS PARTICIPACOES S.A.,08.807.432/0001-10
AGASUS S.A.,04.212.396/0001-91
ALMEIDA JUNIOR SHOPPING CENTERS S.A.,82.120.676/0001-83
ANEMUS WIND HOLDING S.A.,38.482.780/0001-26
ASA BRANCA HOLDING S.A.,09.359.927/0001-97
AURA ALMAS MINERAÇÃO S.A.,08.213.823/0001-07
CLI SUL S.A.,43.514.079/0001-81
CORREDOR LOGÍSTICA E INFRAESTRUTURA S.A.,15.114.494/0001-02
ELETRORIVER S.A.,01.968.293/0001-68
ENVIRONMENTAL ESG PARTICIPAÇÕES S.A.,09.527.023/0001-23
FOZ DO RIO CLARO ENERGIA S.A.,07.823.262/0001-03
GRANJA FARIA S.A.,81.616.807/0001-55
OCEÂNICA ENGENHARIA E CONSULTORIA S.A.,29.980.141/0001-08
ORIZON MEIO AMBIENTE S.A.,03.279.285/0001-30
ORIZON MEIO AMBIENTE S.A.,03.279.285/0001-30
RIO ENERGY PARTICIPAÇÕES S.A.,38.126.888/0001-86
RODOVIAS DO BRASIL HOLDING S.A.,41.508.382/0001-46
VOTORANTIM CIMENTOS S.A.,01.637.895/0001-32
XP INVESTIMENTOS S.A.,16.838.421/0001-26
BR MALLS PARTICIPACOES S.A.,06.977.745/0001-91
BR PROPERTIES S.A.,06.977.751/0001-49
IGUATEMI EMPRESA DE SHOPPING CENTERS S.A,51.218.147/0001-93
