,CIK,Symbol
252,0000050863,INTC
253,0001571949,ICE
254,0000051253,IFF
255,0000051434,IP
256,0000051644,IPG
257,0000896878,INTU
258,0001035267,ISRG
259,0000914208,IVZ
260,0001687229,INVH
261,0001478242,IQV
262,0001020569,IRM
263,0000728535,JBHT
264,0000898293,JBL
265,0000779152,JKHY
266,0000052988,J
267,0000200406,JNJ
268,0000833444,JCI
269,0000019617,JPM
270,0001043604,JNPR
271,0000055067,K
272,0001944048,KVUE
273,0001418135,KDP
274,0000091576,KEY
275,0001601046,KEYS
276,0000055785,KMB
277,0000879101,KIM
278,0001506307,KMI
279,0000319201,KLAC
280,0001637459,KHC
281,0000056873,KR
282,0000202058,LHX
283,0000920148,LH
284,0000707549,LRCX
285,0001679273,LW
286,0001300514,LVS
287,0001336920,LDOS
288,0000920760,LEN
289,0001707925,LIN
290,0001335258,LYV
291,0001065696,LKQ
292,0000936468,LMT
293,0000060086,L
294,0000060667,LOW
295,0001397187,LULU
296,0001489393,LYB
297,0000036270,MTB
298,0000101778,MRO
299,0001510295,MPC
300,0001278021,MKTX
301,0001048286,MAR
302,0000062709,MMC
303,0000916076,MLM
304,0000062996,MAS
305,0001141391,MA
306,0000891103,MTCH
307,0000063754,MKC
308,0000063908,MCD
309,0000927653,MCK
310,0001613103,MDT
311,0000310158,MRK
312,0001326801,META
313,0001099219,MET
314,0001037646,MTD
315,0000789570,MGM
316,0000827054,MCHP
317,0000723125,MU
318,0000789019,MSFT
319,0000912595,MAA
320,0001682852,MRNA
321,0000851968,MHK
322,0001179929,MOH
323,0000024545,TAP
324,0001103982,MDLZ
325,0001280452,MPWR
326,0000865752,MNST
327,0001059556,MCO
328,0000895421,MS
329,0001285785,MOS
330,0000068505,MSI
331,0001408198,MSCI
332,0001120193,NDAQ
333,0001002047,NTAP
334,0001065280,NFLX
335,0001164727,NEM
336,0001564708,NWSA
337,0001564708,NWS
338,0000753308,NEE
339,0000320187,NKE
340,0001111711,NI
341,0000072331,NDSN
342,0000702165,NSC
343,0000073124,NTRS
344,0001133421,NOC
345,0001513761,NCLH
346,0001013871,NRG
347,0000073309,NUE
348,0001045810,NVDA
349,0000906163,NVR
350,0001413447,NXPI
351,0000898173,ORLY
352,0000797468,OXY
353,0000878927,ODFL
354,0000029989,OMC
355,0001097864,ON
356,0001039684,OKE
357,0001341439,ORCL
358,0001781335,OTIS
359,0000075362,PCAR
360,0000075677,PKG
361,0001327567,PANW
362,0000813828,PARA
363,0000076334,PH
364,0000723531,PAYX
365,0001590955,PAYC
366,0001633917,PYPL
367,0000077360,PNR
368,0000077476,PEP
369,0000078003,PFE
370,0001004980,PCG
371,0001413329,PM
372,0001534701,PSX
373,0000764622,PNW
374,0001038357,PXD
375,0000713676,PNC
376,0000945841,POOL
377,0000079879,PPG
378,0000922224,PPL
379,0001126328,PFG
380,0000080424,PG
381,0000080661,PGR
382,0001045609,PLD
383,0001137774,PRU
384,0000788784,PEG
385,0000857005,PTC
386,0001393311,PSA
387,0000822416,PHM
388,0001604778,QRVO
389,0001050915,PWR
390,0000804328,QCOM
391,0001022079,DGX
392,0001037038,RL
393,0000720005,RJF
394,0000101829,RTX
395,0000726728,O
396,0000910606,REG
397,0000872589,REGN
398,0001281761,RF
399,0001060391,RSG
400,0000943819,RMD
401,0000031791,RVTY
402,0000315213,RHI
403,0001024478,ROK
404,0000084839,ROL
405,0000882835,ROP
406,0000745732,ROST
407,0000884887,RCL
408,0000064040,SPGI
409,0001108524,CRM
410,0001034054,SBAC
411,0000087347,SLB
412,0001137789,STX
413,0001032208,SRE
414,0001373715,NOW
415,0000089800,SHW
416,0001063761,SPG
417,0000004127,SWKS
418,0000091419,SJM
419,0000091440,SNA
420,0000092122,SO
421,0000092380,LUV
422,0000093556,SWK
423,0000829224,SBUX
424,0000093751,STT
425,0001022671,STLD
426,0001757898,STE
427,0000310764,SYK
428,0001601712,SYF
429,0000883241,SNPS
430,0000096021,SYY
431,0001283699,TMUS
432,0001113169,TROW
433,0000946581,TTWO
434,0001116132,TPR
435,0001389170,TRGP
436,0000027419,TGT
437,0001385157,TEL
438,0001094285,TDY
439,0000096943,TFX
440,0000097210,TER
441,0001318605,TSLA
442,0000097476,TXN
443,0000217346,TXT
444,0000097745,TMO
445,0000109198,TJX
446,0000916365,TSCO
447,0001466258,TT
448,0001260221,TDG
449,0000086312,TRV
450,0000864749,TRMB
451,0000092230,TFC
452,0000860731,TYL
453,0000100493,TSN
454,0000036104,USB
455,0001543151,UBER
456,0000074208,UDR
457,0001403568,ULTA
458,0000100885,UNP
459,0000100517,UAL
460,0001090727,UPS
461,0001067701,URI
462,0000731766,UNH
463,0000352915,UHS
464,0001035002,VLO
465,0000740260,VTR
466,0001967680,VLTO
467,0001014473,VRSN
468,0001442145,VRSK
469,0000732712,VZ
470,0000875320,VRTX
471,0000103379,VFC
472,0001792044,VTRS
473,0001705696,VICI
474,0001403161,V
475,0001396009,VMC
476,0000011544,WRB
477,0000943452,WAB
478,0001618921,WBA
479,0000104169,WMT
480,0001744489,DIS
481,0001437107,WBD
482,0000823768,WM
483,0001000697,WAT
484,0000783325,WEC
485,0000072971,WFC
486,0000766704,WELL
487,0000105770,WST
488,0000106040,WDC
489,0001732845,WRK
490,0000106535,WY
491,0000106640,WHR
492,0000107263,WMB
493,0001140536,WTW
494,0000277135,GWW
495,0001174922,WYNN
496,0000072903,XEL
497,0001524472,XYL
498,0001041061,YUM
499,0000877212,ZBRA
500,0001136869,ZBH
501,0000109380,ZION
502,0001555280,ZTS
