CNPJ_CIA,Ano,LC,CTPT,ML,ME,ROA,Empresa,DENOM_CIA,Pais_k,Ano_t
0000320193,2015,1.1087706239920605,1.433739684135562,0.2350131469724864,4.560751997551463,0.1838136319665105,237,Apple Inc.,2,7
0000320193,2016,1.352669417512594,1.5082924623193943,0.4428916031703488,12.409158785465406,0.1420235882195681,237,Apple Inc.,2,8
0000320193,2017,1.2760628484139107,1.7999060031183092,0.2142664486718856,3.2419175993047253,0.1288264116658096,237,Apple Inc.,2,9
0000320193,2018,1.1238426916297295,2.4133013523477094,0.4921447940429561,8.463340937459648,0.1627753093171098,237,Apple Inc.,2,10
0001045810,2011,3.42315860491661,,0.1453477174437771,4.189963556140302,0.0979098807940655,354,NVIDIA CORP,2,3
0001045810,2012,4.199499332227907,,0.1314287623427073,4.00539629485727,0.1013043929256781,354,NVIDIA CORP,2,4
0001045810,2013,4.891564734696888,,0.1065309302637523,4.150847593871621,0.0686171535866143,354,NVIDIA CORP,2,5
0001045810,2014,5.948952718996167,,0.1346974382394387,3.629528055816215,0.0869667933361044,354,NVIDIA CORP,2,6
0001045810,2015,6.376116071428571,0.629923042100498,0.1225548902195608,3.443996606786427,0.0852659352867657,354,NVIDIA CORP,2,7
0001045810,2016,2.5746490854955337,0.6296710673528754,0.2410998552821997,2.495287120115774,0.2260515603799185,354,NVIDIA CORP,2,8
0001045810,2017,4.774049217002237,0.7025338424158278,0.6660835337852613,4.030053356658649,0.2502794431460217,354,NVIDIA CORP,2,9
0001045810,2019,7.943566591422122,0.4228216655962321,0.2559992672650669,1.8592630518409965,0.2102768582606078,354,NVIDIA CORP,2,11
0001045810,2020,7.673766816143497,0.4187971156997706,0.2597901049475262,1.1599060869565216,0.2501876985272885,354,NVIDIA CORP,2,12
0000909832,2010,1.1634701381297825,1.1898605596084588,0.0170448310757263,3.0595837549836014,0.1541885366365736,315,COSTCO WHOLESALE CORP /NEW,2,2
0000909832,2011,1.1374273858921162,1.1821363106148974,0.0162319585421217,2.688230759347296,0.0546317402189753,315,COSTCO WHOLESALE CORP /NEW,2,3
0000909832,2012,1.1032626427406198,1.1829140037213817,0.0189861143433403,2.435012799627647,0.062969786293294,315,COSTCO WHOLESALE CORP /NEW,2,4
0000909832,2013,1.1948404616429056,1.778916274346903,0.0182032198567098,2.3283438221200634,0.0673315061255489,315,COSTCO WHOLESALE CORP /NEW,2,5
0000909832,2014,1.2203719122953094,1.666991790620174,0.0195785086088362,2.172297793958681,0.0623183139534883,315,COSTCO WHOLESALE CORP /NEW,2,6
0000909832,2015,1.045888754534462,2.1283790147876047,0.0196897730858112,2.143371223426481,0.0710825358851674,315,COSTCO WHOLESALE CORP /NEW,2,7
0000909832,2016,0.9770786516853932,1.7245632916632172,0.0196709408056504,2.073782530488308,0.0708621053583813,315,COSTCO WHOLESALE CORP /NEW,2,8
0000909832,2017,0.9898256644755644,2.344405269994433,0.0139139590854392,1.1813609356197352,0.0737062205959226,315,COSTCO WHOLESALE CORP /NEW,2,9
0000909832,2018,1.0182174043962662,2.166341120400032,0.0225863277080345,1.6469224573191097,0.0767572863090864,315,COSTCO WHOLESALE CORP /NEW,2,10
0000909832,2019,1.0106726341610364,1.956045397887555,0.0226551771697219,1.5092077883917705,0.0805947136563876,315,COSTCO WHOLESALE CORP /NEW,2,11
0000909832,2020,1.1318628240218966,2.015478013563772,0.0369215379040366,1.2848531866135182,0.0720354237166102,315,COSTCO WHOLESALE CORP /NEW,2,12
0000909832,2021,1.0021738392038313,2.345137781826464,0.0257497113952607,1.1331899856358558,0.0844806641020449,315,COSTCO WHOLESALE CORP /NEW,2,13
0000796343,2009,2.928915059208836,0.4890370607258707,0.1249414797479302,6.790940768348017,0.2191113801981451,271,ADOBE INC.,2,1
0000796343,2010,3.011034671300492,0.5679008517662493,0.2222513646993731,6.709515682264023,0.1426319727881129,271,ADOBE INC.,2,2
0000796343,2011,3.0152816764592307,0.5547306442049463,0.1850512970466997,6.315014837832552,0.1067713781378935,271,ADOBE INC.,2,3
0000796343,2012,3.405821260748951,0.4965117231607479,0.1632224316531274,6.141822766488104,0.083490208002929,271,ADOBE INC.,2,4
0000796343,2013,2.651941339024467,0.5436227458624514,0.0671809446206992,6.438502952572794,0.0279360958616024,271,ADOBE INC.,2,5
0000796343,2014,1.8450382551559767,0.5917916499714798,0.0719520521713877,6.120523452548162,0.024884039975045,271,ADOBE INC.,2,6
0000796343,2015,2.178346515742091,0.6748322521488007,0.1575981844954252,5.235085355738495,0.0536863090620947,271,ADOBE INC.,2,7
0000796343,2016,2.0770028826643574,0.7114338567793089,0.2133879843146331,4.409520244716948,0.0919785562638377,271,ADOBE INC.,2,8
0000796343,2017,2.0546850039561075,0.7181774327711221,0.2440097854134784,3.611615749247351,0.1165386449613623,271,ADOBE INC.,2,9
0000796343,2018,1.1292482480169146,1.0047482865515205,0.2807723026166124,2.9813004743401046,0.1380370768709278,271,ADOBE INC.,2,10
0000796343,2019,0.7929403201440421,0.9717088684829426,0.2771734595759959,2.478714087244265,0.1421539899048279,271,ADOBE INC.,2,11
0000796343,2020,1.477866473149492,0.8308202653799759,0.3570534386980674,1.1686892261951334,0.2166035249547027,271,ADOBE INC.,2,12
0001108524,2009,1.3932260360954722,1.186891917640194,0.0618260194870797,16.47688427315613,0.0417509673460727,373,"Salesforce, Inc.",2,1
0001108524,2010,1.8787607501128691,1.344637201308294,0.0389068146968962,12.958307661578178,0.0590167226173796,373,"Salesforce, Inc.",2,2
0001108524,2011,0.8421093863839695,,-0.005105581682027,9.462800772455273,-0.0037435724071668,373,"Salesforce, Inc.",2,3
0001108524,2012,0.7270432441997521,1.5737154772704365,-0.088664823068689,7.029655808890907,-0.0649459650147425,373,"Salesforce, Inc.",2,4
0001108524,2013,0.6909320734954195,1.3624724017995946,-0.0570313998786048,5.263418130617934,-0.0419925570035283,373,"Salesforce, Inc.",2,5
0001108524,2014,0.6733983419878659,2.0035198172788635,-0.0488850462242532,3.9721057781526152,-0.0286998808031963,373,"Salesforce, Inc.",2,6
0001108524,2015,0.8005607157736391,1.6829273017116444,-0.0071133138629376,3.2117426524054418,-0.0044468293720271,373,"Salesforce, Inc.",2,7
0001108524,2016,1.0203521271567322,1.551120167248033,0.029457546380811,3.52062513652026,0.0140745221312991,373,"Salesforce, Inc.",2,8
0000077476,2019,0.8623723180685205,4.3067090491005,0.1044613274073598,2.6879317122479924,0.2524475791564286,217,PEPSICO INC,2,11
0000077476,2020,0.9841263049803184,5.899063475546306,0.0958552482572916,4.317386818330523,0.0766267031145741,217,PEPSICO INC,2,12
0000858877,2010,2.673581864503717,0.832335599882531,0.1753436068304873,5.481836271923736,0.2705904104523604,295,"CISCO SYSTEMS, INC.",2,2
0000858877,2011,3.2692219810350736,0.8435184008808707,0.2405505742385098,5.111135233711817,0.0745163327401113,295,"CISCO SYSTEMS, INC.",2,3
0000858877,2012,3.492922001015171,0.7888702569902117,0.2053819408727138,4.892608060567408,0.087631730947373,295,"CISCO SYSTEMS, INC.",2,4
0000858877,2013,2.952460346070656,0.7114851150202977,0.1665818166390904,5.068643672309194,0.0986550187269618,295,"CISCO SYSTEMS, INC.",2,5
0000858877,2014,3.3880559341713363,0.8555971334768948,0.1826854620532536,4.82282703769248,0.0746951509502159,295,"CISCO SYSTEMS, INC.",2,6
0000858877,2015,3.229183422935275,0.9007671948809004,0.1132454768818405,4.843340711109306,0.0791410015773565,295,"CISCO SYSTEMS, INC.",2,7
0000858877,2017,3.0345865206830296,0.9628649621240758,-0.0300440785096473,4.795471556886228,0.1567425164461014,295,"CISCO SYSTEMS, INC.",2,9
0000858877,2018,2.287294248196782,1.5179150078696415,0.5083573714782471,9.120915161812936,0.0010111781144285,295,"CISCO SYSTEMS, INC.",2,10
0000896878,2015,1.4678899082568808,1.130360205831904,0.1082232637409458,6.455688112484022,0.0734702093397745,310,INTUIT INC.,2,7
0000896878,2016,0.717014660151044,2.6606373815676143,0.540133779264214,16.964325529542922,0.2303529411764706,310,INTUIT INC.,2,8
0000896878,2017,0.727880658436214,2.0044313146233383,0.1748251748251748,5.596981965403018,0.2386922320550639,310,INTUIT INC.,2,9
0000896878,2018,1.1361058601134215,1.199660152931181,0.2288913077281915,4.728969056134349,0.2338740826573966,310,INTUIT INC.,2,10
